Hotel Name,Hotel Address,Hotel Rating,Hotel Latitude,Hotel Longitude
Hostal Las Lilas,"Lepiñanco 18, Lebu",3.7,-37.60795969999999,-73.64875789999999
Ushuaia Homes Downtown,"Pres. Bernardino Rivadavia 130, Ushuaia",5.0,-54.8052907,-68.3013382
Zin's House,"Nguyễn Thái Học, Yên Bái",0.0,21.7123966,104.8779026
Rest Inn,"3244 Central Pkwy, Cincinnati",2.7,39.1419229,-84.5309702
Pension Chez Jojo,"W357+V4R, Unnamed Road, Gambier",4.6,-23.0902538,-134.9372232
Nuli Sapi,"9JFW+J2W, Rogeia Island, Kasabanalua",4.7,-10.6258967,150.6450828
Hôtel Hiva Oa Hanakee Lodge,"5XWF+8MR, Hiva Oa",4.3,-9.8041391,-139.0258483
Isles Sunset Lodge,Kiribati,4.8,3.071017,172.7899308
Qaanaaq Hotel,"FQ99+P97, Qaanaaq",4.3,77.4692867,-69.2315911
ONS MOTEL & GUEST HOUSE,"HPR4+HC4, Royal Rd, Mahebourg",4.5,-20.4085895,57.70615350000001
Jo Jo's Inn,"43 George St, New Norfolk",0.0,-42.7831418,147.0625259
"પટેલ પાર્લર, ટી સ્ટોલ & જનરલ સ્ટોર, થરાદ","9JPJ+2P5, GJ SH 128, Tharad",0.0,24.3850097,71.6318508
Thank You Boutique Hotel,"Building D, Aobang Plaza, No. 789, Central Avenue, Huilong Town, Qidong",0.0,31.834044,121.669464
Waterfront Lodge Motel,"153 Risdon Rd, Lutana",3.9,-42.84421529999999,147.3153007
Riverside Motel,Air Ronge,3.7,55.0918155,-105.3199034
فندق أوباري,"HQW8+MCG، Unnamed Road, أوباري،، Awbari‎",2.8,26.5966876,12.7660784
HİLAR OTEL,"Adnan Menderes mah.Orhan doğan cad.no 56, Ergani",5.0,38.2663514,39.7918619
Arrayal,"R. Ezer Teixeira de Melo, 6 - 16 - Centro, Arraial do Cabo",5.0,-22.969881,-42.0207922
The Lost Camel Hotel - a member of Mercure Hotels,"Ayers Rock, Yulara Dr, Yulara",4.0,-25.2377096,130.9859629
Bushido Lodge,"13 Topps Access Road, off Waiare Road, Kaeo, Far North,, Kaeo",0.0,-35.117517,173.797571
Punta Arenas Getaway,"Suiza 01351, Punta Arenas",5.0,-53.1435409,-70.8828491
Banana bungalow,Wailuku,0.0,20.8918977,-156.5037419
Hotel Suromadu,"WWVR+GCJ, Jl. Raya Pelabuhan, Tambangan, Kalianget Tim., Kabupaten Sumenep",2.0,-7.0561624,113.941016
Bluff Lodge & Guest House,"120 Gore St, Bluff",4.3,-46.59911160000001,168.3428721
Moinho de Pedra,"Rua dos Moinhos de Vento, 28, Santa Cruz da Graciosa",4.9,39.054552,-27.970481
Rannoch Lodge,"10 Carlyle St, Mataura",0.0,-46.1935904,168.8631893
Sahtu Dene Inn and Suites,"88 MacKenzie Dr, Norman Wells",0.0,65.27618919999999,-126.7977388
Pasportnyy Stol,"Ulitsa Lenina, 31, Belyi Yar",4.5,53.5972069,91.3745766
Olini Lodge,"RQVH+7M9, Taufa'ahau Road, Nuku'alofa, Haveluloto, Nuku'alofa",4.3,-21.1568412,-175.220781
Neetu Residency,"Behind s b i bank, Bandikui Rd, near hariom marrige garden, Bandikui",5.0,27.039518,76.5695333
Hotel,"4FGF+95G, Troncal 19, Cdad. Bolívar",5.0,8.125927599999999,-63.52703700000001
The Plantation Faial,"R. de São Pedro 4, Feteira",4.5,38.5268078,-28.6784246
Pastoral,"R. João Paulo VI, 58, Pitimbu",0.0,-7.4765256,-34.8124234
The Four Valleys Guesthouse,"603 Tutangeni Street,, Rundu",4.0,-17.9168266,19.7529193
Dolphin,"WX62+VH9, Nouadhibou",0.0,20.9120868,-17.048753
Clyffard Lodge,"13 Clyffard Cres, Newport",4.0,51.5848338,-3.0026778
Hotel Southern,"u0360, Jalan Bunga Anggerik, Bandar Labuan, Labuan",3.0,5.278246999999999,115.2451969
Pueblo bonita,"Álvaro Obregón 51, Downtown, Ildefonso Green, Cabo San Lucas",0.0,22.8904477,-109.91662
Rocky Cay Lodging,"Rocky Cay, Via San Luis, entrada principal San Andres",4.6,12.5437783,-81.7040604
Desert Edge | Escape Properties,"551 N 1400 E, St. George",0.0,37.11771590000001,-113.5556377
The Red House,"J96G+488, Tasiilaq",4.7,65.61028019999999,-37.62432980000001
Adonis,"Zimnyaya Doroga, Vostok",5.0,46.44504149999999,135.8285073
Khách Sạn Đình Khang,"44 Thủ Khoa Huân, Bình Hưng",0.0,10.9315947,108.1036334
Joko,"6G8M+9QR, Jl. Kapten Saibuna, Talang Jawa Utara, Kabupaten Lahat",0.0,-3.7839977,103.5343248
Hotel Airport Lodge,"Settlers Way, Greenfields, East London",3.0,-33.0359711,27.862487
Indoyo Retreat,"28 Willmott St, Kaloorup",0.0,-33.6430997,115.3679553
Innisfail Tropical Lodge,"17-23 Flying Fish Point Rd, Innisfail Estate",4.2,-17.5182271,146.0347876
Kauai Beachfront Inn,"4-1558 Kuhio Hwy, Kapaʻa",5.0,22.0795477,-159.3141608
Berlevåg Motell As,"Havnegata 12, Berlevåg",4.3,70.8565327,29.1001638
Hotel Kap Farvel,"Isua B304, Nanortalik",4.0,60.1434625,-45.2366004
Hôtel Muambastangu,"BP 702, Omboué",0.0,-1.5667391,9.258546899999999
Mainha's Praia Hotel,"R. Terezinha da Costa, 99 - Lot. Praia Grande, Cabedelo",4.6,-7.0183458,-34.8362164
The Lodge,"7 Albany Rd, Port Alfred",2.6,-33.592217,26.897804
Sea view Accomodation,"GWV9+J7X, Nakumwe",4.0,-10.4558779,161.9182225
လရိပ်,"QPXV+6X5, Kan Yeik Tha Rd, Pathein",0.0,16.7979536,94.74496669999999
Tiara Inn,"436, Jalan Council, Pekan Sri Aman, Sri Aman",3.3,1.236517,111.4619929
Gostinichnyy Kompleks Aylgy,"Октябрьская,д, 42а",3.6,66.7534324,123.3832217
HOTEL BISO NA BISO,"Nº5, boulevard lumineux, Buta",5.0,2.8045317,24.7499112
Hotel Victoria,"Numancia 143, Chuy",3.6,-33.6938247,-53.4521667
Yonny,San Cristobal,4.2,7.767485400000001,-72.2320953
Gostinitsa,"Unnamed Road, Leningradskii",5.0,69.3570519,178.4045435
Narsaq Kayak Hostel,"3921, Narsaq",4.0,60.9133681,-46.0504869
Foho Tailau,"29PC+WFR, Ermera",0.0,-8.9626255,125.3711289
HOSPEDAJE SOL Y LUNA,"+51, Paramonga",0.0,-10.6752424,-77.82055280000002
